Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras
Avenida San Juan e/ Sánchez de Loria y 24 de Noviembre;Boedo, Capital Federal;$ 450.000;$ 90.000 Expensas;30;1;0;1;0
Avenida Alvear al 1500;Recoleta, Capital Federal;USD 8.900;$ 767.000 Expensas;200;4;4;3;1
Juez Tedin al 3100;Barrio Parque, Palermo;USD 5.000;$ 1.000.000 Expensas;417;9;4;3;2
Soler  5500 5°;Palermo Hollywood, Palermo;USD 950;$ 120.000 Expensas;50;2;1;2;0
Nicaragua al 6000;Palermo Hollywood, Palermo;USD 1.300;;60;2;1;1;0
Teodoro Garcia 2431/33 6 B;Belgrano, Capital Federal;$ 550.000;$ 112.000 Expensas;34;1;1;1;0
Malabia  al 400;Villa Crespo, Capital Federal;$ 1.100.000;$ 280.000 Expensas;65;2;1;1;1
JERONIMO SALGUERO 1700;Palermo, Capital Federal;$ 850.000;$ 150.000 Expensas;75;3;2;1;1
Malabia y Nicaragua;Palermo Soho, Palermo;$ 600.000;$ 140.000 Expensas;35;1;0;1;0
Mendoza 3268;Belgrano R, Belgrano;$ 650.000;$ 127.000 Expensas;46;1;1;1;1
Arévalo 1300;Palermo Hollywood, Palermo;USD 700;$ 83.000 Expensas;47;2;1;1;0
Viamonte al 500;San Nicolás, Capital Federal;USD 4.000;$ 900.000 Expensas;796;14;11;6;2
Av. San Martín  al 3500;La Paternal, Capital Federal;$ 370.000;$ 75.000 Expensas;40;2;1;1;0
Arenales  al 2200;Recoleta, Capital Federal;USD 1.390;$ 380.000 Expensas;138;4;3;1;0
Riobamba 927;Recoleta, Capital Federal;$ 900.000;$ 180.000 Expensas;55;2;1;1;0
Gascón al 1700;Palermo Soho, Palermo;USD 800;$ 162.000 Expensas;57;2;1;1;0
Hipolito Yrigoyen al 1700;Congreso, Capital Federal;USD 2.200;;400;5;0;4;0
Torre Decó J. F. Segui al 4600 (godoy Cruz y Sinclair);Palermo, Capital Federal;USD 2.500;$ 490.000 Expensas;104;3;2;3;1
Aguado al 2800;Palermo Chico, Palermo;USD 10.000;$ 2.407.900 Expensas;319;7;4;3;1
Dorrego  al 2200;Palermo Hollywood, Palermo;$ 550.000;$ 127.000 Expensas;37;1;0;1;0
Quartier Madero Urbano;Puerto Madero, Capital Federal;USD 700;$ 130.000 Expensas;37;2;1;1;0
Guatemala  al 5900;Palermo Hollywood, Palermo;USD 650;$ 180.000 Expensas;62;2;1;1;0
Azcuénaga e/ Guido y Vicente López;Recoleta, Capital Federal;$ 1.000.000;;58;2;1;1;0
Av. Quintana al 400;Recoleta, Capital Federal;USD 3.600;$ 1.106.000 Expensas;309;7;5;4;2
Aime Paime al al 1100;Puerto Madero, Capital Federal;USD 3.500;$ 1 Expensas;75;2;1;1;1
Paraguay al 5100;Palermo Hollywood, Palermo;$ 700.000;$ 150.000 Expensas;55;2;1;1;0
fray justo santa maria de oro 6 37 2553;Botánico, Palermo;$ 470.000;$ 114.000 Expensas;45;2;1;1;0
Azucena Villaflor 500;Puerto Madero, Capital Federal;USD 15.410;$ 212.000 Expensas;356;5;4;4;1
Av. Callao  al 1900;Recoleta, Capital Federal;$ 950.000;$ 297.000 Expensas;110;4;3;1;0
Callao al 1400;Recoleta, Capital Federal;$ 3.600.000;$ 70.000 Expensas;116;3;2;2;0
Soler  5500 7°;Palermo Hollywood, Palermo;USD 950;$ 120.000 Expensas;49;2;1;2;0
Departamento en Alquiler en Puerto Madero;Puerto Madero, Capital Federal;USD 1.500;$ 450.000 Expensas;84;3;2;2;0
Av. Santa Fe al 900;Retiro, Capital Federal;USD 3.000;$ 600.000 Expensas;650;12;5;6;0
Ciudad de La Paz e/ José Hernández y Virrey del Pino;Belgrano, Capital Federal;$ 650.000;$ 190.000 Expensas;55;2;1;1;1
Roosevelt  al 1700;Belgrano, Capital Federal;$ 850.000;$ 230.000 Expensas;55;3;2;1;0
Gorriti al 3500;Recoleta, Capital Federal;USD 950;$ 300.000 Expensas;48;2;1;2;1
Azucena Villaflor 600;Puerto Madero, Capital Federal;USD 5.000;$ 2.300.000 Expensas;233;4;2;5;2
Sarmiento 3800;Almagro, Capital Federal;$ 600.000;$ 120.000 Expensas;65;3;2;1;0
conde 900. Entre Palpa y Cespedes;Colegiales, Capital Federal;$ 400.000;$ 90.000 Expensas;40;2;1;0;0
Ruggieri al 2800;Palermo Chico, Palermo;$ 420.000;$ 110.000 Expensas;33;1;0;1;0
Lavalleja 200;Villa Crespo, Capital Federal;$ 1.500.000;$ 260.000 Expensas;150;4;3;3;0
Arenales  al 1800;Recoleta, Capital Federal;USD 450;$ 171.546 Expensas;40;2;1;1;0
Arroyo 800;Retiro, Capital Federal;USD 2.500;$ 157.000 Expensas;67;3;2;1;0
Gurruchaga al 2100 Piso 4º;Palermo, Capital Federal;$ 500.000;$ 209.858 Expensas;50;2;1;1;0
Arroyo al 800;Retiro, Capital Federal;USD 2.700;$ 330.000 Expensas;75;3;2;1;1
Demaria 4500;Palermo Chico, Palermo;USD 10.000;$ 2.000.000 Expensas;400;4;3;4;3
Uruguay al 1200;Recoleta, Capital Federal;USD 1.200;$ 211.000 Expensas;104;3;2;1;0
Departamento en Alquiler, 3 Ambientes, en Recoleta, Capital Federal,  Caba;Recoleta, Capital Federal;USD 1.200;;65;3;2;1;0
Nicolas Repetto al 300;Caballito, Capital Federal;$ 1.000.000;;30;1;0;1;0
Libertador al 3700;Palermo, Capital Federal;USD 7.300;;400;6;5;4;2
Palermo;Palermo, Capital Federal;USD 900;;65;1;1;1;1
Virrey del Pino  al 2400;Belgrano, Capital Federal;$ 430.000;$ 23.000 Expensas;30;2;1;1;0
Julieta Lanteri 1300;Puerto Madero, Capital Federal;USD 2.600;$ 600.000 Expensas;82;2;1;1;2
Montevideo al 1700;Recoleta, Capital Federal;USD 2.700;$ 753.657 Expensas;173;6;3;4;0
Ramon Freire 2400;Belgrano, Capital Federal;$ 420.000;$ 150.000 Expensas;35;1;0;0;0
Distrito Quartier.;Retiro, Capital Federal;USD 750;;47;1;1;1;0
Laprida  al 1200;Recoleta, Capital Federal;$ 790.000;$ 174.000 Expensas;55;2;1;1;0
Av. Federico Lacroze al 3900;Chacarita, Capital Federal;$ 480.000;$ 195.000 Expensas;50;2;1;1;0
Ortega y Gasset 1900;Las Cañitas, Palermo;USD 1.600;$ 700.000 Expensas;75;3;2;2;1
Av. San Martín 3420  - Caba.;La Paternal, Capital Federal;$ 400.000;$ 70.000 Expensas;35;1;1;1;0
Sarandi  40;Balvanera, Capital Federal;$ 400.000;$ 67.750 Expensas;38;2;1;1;0
Av Triunvirato al 4300;Villa Urquiza, Capital Federal;$ 460.000;$ 121.000 Expensas;34;1;0;1;0
JARAMILLO 2300. Entre Av. cabildo y Vuelta de obligado;Núñez, Capital Federal;$ 490.000;$ 113.400 Expensas;35;1;0;1;0
Talcahuano 1200;Recoleta, Capital Federal;USD 9.000;$ 450.000 Expensas;335;6;4;3;1
Cabello  N°3224 -piso  5;Palermo, Capital Federal;$ 550.000;$ 232.000 Expensas;39;1;1;1;0
Paraguay  al 5000;Palermo Hollywood, Palermo;USD 1.100;$ 300.000 Expensas;87;2;1;1;1
Alquiler Departamento  Quintana y Ayacucho Recoleta;Recoleta, Capital Federal;USD 1.800;$ 500.000 Expensas;160;5;3;2;1
Mexico  55;Puerto Madero, Capital Federal;USD 800;;42;1;0;1;0
Av San Martin al 2300;Villa Crespo, Capital Federal;USD 400;$ 70.000 Expensas;35;1;0;1;0
Honduras  al 4100;Palermo, Capital Federal;USD 1.000;;50;2;1;1;1
Ciudad de la Paz  al 1900;Belgrano, Capital Federal;$ 600.000;$ 180.000 Expensas;35;2;1;1;0
LAPRIDA 1294. Entre Charcas y Lucio mansilla;Recoleta, Capital Federal;$ 600.000;$ 154.000 Expensas;48;2;1;1;0
Teodoro Garcia 1900;Belgrano, Capital Federal;USD 2.800;$ 700.000 Expensas;220;5;3;3;0
Viamonte  al 1800;Barrio Norte, Capital Federal;$ 400.000;$ 200.000 Expensas;35;1;0;1;0
Juana Manso al 1100;Puerto Madero, Capital Federal;USD 6.000;$ 1.060.000 Expensas;209;3;2;2;1
Juana Manso 1300;Puerto Madero, Capital Federal;USD 2.500;$ 100 Expensas;98;3;2;2;1
Avenida Santa Fe e/ Larrea y Azcuénaga;Recoleta, Capital Federal;$ 365.000;$ 120.000 Expensas;24;1;0;1;0
Avenida Belgrano y Balcarce;San Telmo, Capital Federal;USD 550;;40;2;1;1;0
Ciudad de la Paz al 300;Colegiales, Capital Federal;$ 330.000;$ 95.000 Expensas;24;1;0;1;0
Libertador  al 3500;Palermo Nuevo, Palermo;USD 4.000;$ 1.700.000 Expensas;310;5;3;3;2
Cerviño al 3600;Palermo Chico, Palermo;USD 450;$ 87.000 Expensas;32;1;1;1;0
Torre Nic - Baez al 600. Alquiler Precio Paquete;Las Cañitas, Palermo;USD 750;$ 3.500 Expensas;35;1;1;1;0
MOLDES 800. Entre Palpa y Aguilar;Colegiales, Capital Federal;$ 560.000;$ 90.000 Expensas;30;1;0;1;0
Palermo;Palermo, Capital Federal;USD 1.800;;64;2;1;1;0
Avenida Juan de Garay e/ General Urquiza y 24 de Noviembre;Parque Patricios, Capital Federal;$ 600.000;$ 130.000 Expensas;68;2;1;1;0
Av. Alvear  al 1400;Recoleta, Capital Federal;USD 3.500;$ 500.000 Expensas;175;3;2;2;1
Anasagasti al 2000;Barrio Norte, Capital Federal;USD 1.400;;90;4;3;2;0
Torre Promenade – Guemes 3355;Palermo, Capital Federal;USD 2.300;$ 550.000 Expensas;92;3;2;2;0
Macacha Güemes 300;Puerto Madero, Capital Federal;USD 3.500;$ 10 Expensas;136;3;2;1;1
San Juan  2000 9°;San Cristobal, Capital Federal;$ 410.000;$ 48.000 Expensas;23;1;0;1;0
Alicia Moreau de Justo 1848 - Monoambiente- con Amenities;Puerto Madero, Capital Federal;USD 900;;38;1;0;1;0
Congreso 1529 - Caba.;Núñez, Capital Federal;$ 2.100.000;$ 640.000 Expensas;95;4;3;2;1
Libertad e/ Paraguay y Marcelo Torcuato de Alvear;Barrio Norte, Capital Federal;USD 500;$ 130.000 Expensas;40;2;1;1;0
Av. Cordoba al 600;Retiro, Capital Federal;USD 1.100;$ 408.000 Expensas;129;5;3;2;0
Valentin Gomez al 3100;Balvanera, Capital Federal;$ 480.000;$ 96.000 Expensas;44;2;1;1;0
Azucena Villaflor 500;Puerto Madero, Capital Federal;USD 5.000;$ 1.300.000 Expensas;149;3;2;2;1
Rodriguez Peña al 2000;Recoleta, Capital Federal;USD 1.500;$ 234.300 Expensas;130;3;2;2;0
Virrey Olaguer y Feliu al 2400;Belgrano, Capital Federal;USD 3.096;$ 500.000 Expensas;133;3;2;2;1
Valentin Virasoro 700. Entre Felipe vallese y Arengreen;Caballito, Capital Federal;$ 420.000;$ 140.000 Expensas;34;1;1;1;0
Encarnación Ezcurra al 300;Puerto Madero, Capital Federal;USD 800;$ 170.000 Expensas;41;1;1;1;0
Alvear Icon - 3 Amb. - Totalmente Amoblado - Piso Alto - 94 m² - Puerto Madero;Puerto Madero, Capital Federal;USD 7.000;$ 1 Expensas;94;3;2;2;1
Gorriti al 3500;Palermo, Capital Federal;USD 950;$ 300.000 Expensas;48;2;1;2;1
Virrey Loreto e/ Avenida Cabildo y Arcos;Belgrano C, Belgrano;USD 650;;35;1;0;1;0
Esmeralda al 1200;Retiro, Capital Federal;USD 1.080;$ 600.000 Expensas;147;4;3;2;1
11 De Septiembre 1888  1100 4°;Belgrano, Capital Federal;$ 650.000;$ 137.000 Expensas;42;2;1;1;0
Azucena Villaflor al 500;Puerto Madero, Capital Federal;USD 7.000;$ 1.700.000 Expensas;240;4;3;4;2
Peña 2528;Barrio Norte, Capital Federal;$ 500.000;$ 290.000 Expensas;40;1;0;1;0
Matienzo al 2500;Palermo, Capital Federal;USD 750;$ 220.000 Expensas;56;2;1;1;1
Hortiguera al 400;Caballito, Capital Federal;$ 500.000;$ 106.500 Expensas;40;3;0;1;0
Florida  al 1000;Retiro, Capital Federal;USD 3.000;$ 856.000 Expensas;180;3;2;2;0
Báez 400;Las Cañitas, Palermo;$ 770.000;$ 200.000 Expensas;70;2;1;1;0
Quartier Madero Urbano;Puerto Madero, Capital Federal;USD 650;$ 280.000 Expensas;37;1;0;1;0
Amenabar 700;Colegiales, Capital Federal;$ 750.000;$ 230.000 Expensas;40;2;1;1;1
Renoir II  • 5 Ambientes • 2 Cocheras   • 305m²  • Marta Lynch al al 400;Puerto Madero, Capital Federal;USD 10.000;$ 1.000 Expensas;305;5;3;4;2
Avenida Coronel Díaz e/ Juncal y Beruti;Palermo, Capital Federal;USD 850;$ 125.000 Expensas;47;2;1;1;0
Av. Alvear al 1300;Recoleta, Capital Federal;USD 4.500;;386;10;4;3;2
Arce al 800;Las Cañitas, Palermo;$ 550.000;$ 140.000 Expensas;33;1;0;1;0
Olleros  al 2500;Colegiales, Capital Federal;$ 990.000;$ 210.000 Expensas;85;4;2;1;0
Fray Justo Santa María de Oro 2835;Palermo Viejo, Palermo;USD 1.300;$ 280.000 Expensas;53;2;1;1;1
Cabrera al 6000;Palermo Hollywood, Palermo;$ 750.000;$ 240.000 Expensas;65;2;1;1;0
Ciudad de la Paz al 2400 y Blanco Encalada;Belgrano, Capital Federal;$ 900.000;$ 130.000 Expensas;82;3;2;1;0
JORGE NEWBERY 1800. Entre Av. luis m. campos y Arce;Palermo, Capital Federal;$ 1.000.000;$ 232.679 Expensas;62;3;2;2;1
Thames 2100;Palermo, Capital Federal;USD 2.400;$ 534.242 Expensas;92;3;2;2;1
Remedios de Escalada 960 5J;Villa Crespo, Capital Federal;$ 450.000;$ 130.000 Expensas;46;1;0;1;0
Echeverria al 2000;Belgrano, Capital Federal;$ 800.000;$ 200.000 Expensas;49;2;1;2;1
Avenida Independencia y Catamarca;San Cristobal, Capital Federal;$ 500.000;$ 105.000 Expensas;37;1;0;1;0
Soldado de la Independencia al 1300;Las Cañitas, Palermo;USD 650;;50;2;1;1;0
Laprida 1500;Recoleta, Capital Federal;$ 500.000;$ 120.000 Expensas;39;2;1;1;0
Aguero al 2300;Recoleta, Capital Federal;USD 1.300;$ 450.000 Expensas;92;3;2;2;1
Las Heras;Botánico, Palermo;$ 475.000;$ 70.000 Expensas;23;1;0;0;0
Zapata  al 400;Colegiales, Capital Federal;USD 2.450;$ 680.000 Expensas;144;4;3;2;1
Jorge Newbery 1500;Belgrano, Capital Federal;USD 1.800;$ 717.537 Expensas;200;5;4;2;1
Cabrera  5200 1°;Palermo Hollywood, Palermo;$ 650.000;;57;2;1;1;0
La Pampa al 1200;Belgrano, Capital Federal;USD 1.400;;80;3;2;2;1
Distrito Quartier.;Retiro, Capital Federal;USD 600;$ 220.000 Expensas;51;2;1;1;0
Posadas  al 1300;Recoleta, Capital Federal;USD 500;$ 150.000 Expensas;31;1;1;1;0
Brandsen al 1400;Barracas, Capital Federal;$ 900.000;$ 1 Expensas;90;2;1;1;1
Sarmiento 1700;San Nicolás, Capital Federal;$ 450.000;$ 130.000 Expensas;45;1;0;1;0
Martha Salotti al 400;Puerto Madero, Capital Federal;USD 1.500;$ 1.090.000 Expensas;100;2;1;1;1
Villaroel 1071 - Caba.;Villa Crespo, Capital Federal;$ 700.000;$ 170.000 Expensas;49;2;1;1;0
Tacuari  al 2000;Barracas, Capital Federal;$ 500.000;;38;1;1;1;0
Argañaras 100;Villa Crespo, Capital Federal;USD 750;$ 250.000 Expensas;56;2;1;2;0
Avenida Libertador  al 4400;Palermo, Capital Federal;USD 10.000;;390;8;4;6;3
Monroe 3100;Belgrano, Capital Federal;$ 500.000;$ 149.000 Expensas;39;1;0;1;0
Corrientes al 3300;Almagro, Capital Federal;$ 450.000;$ 130.000 Expensas;36;1;0;1;0
Lafinur 3100;Palermo, Capital Federal;USD 900;$ 176.800 Expensas;80;2;1;1;0
Carlos Calvo 1500;Monserrat, Capital Federal;$ 480.000;$ 200.000 Expensas;43;1;1;1;0
Armenia al 2400;Botánico, Palermo;USD 3.200;$ 400.000 Expensas;235;3;2;2;0
Luis Maria Campos  al 400;Las Cañitas, Palermo;$ 600.000;$ 164.000 Expensas;43;2;1;1;0
Honduras 4600;Palermo, Capital Federal;$ 1.400.000;$ 350.000 Expensas;76;3;2;1;1
Blanco Encalada  al 1900;Belgrano, Capital Federal;$ 800.000;$ 152.000 Expensas;49;2;1;1;0
Cap. Gral. Ramón Freire 2400;Belgrano, Capital Federal;USD 600;$ 288.000 Expensas;46;2;1;2;0
Zapata 31;Palermo, Capital Federal;$ 900.000;$ 240.000 Expensas;70;3;2;1;1
Oro  2700;Palermo, Capital Federal;USD 3.000;$ 425.000 Expensas;120;3;2;3;1
Av. Libertador 3700;Palermo Nuevo, Palermo;USD 7.500;$ 1.000.000 Expensas;404;5;4;3;2
Bvard. Charcas al 3300;Palermo, Capital Federal;$ 700.000;$ 157.000 Expensas;67;2;1;1;0
Bulnes  al 800;Almagro, Capital Federal;$ 850.000;$ 92.000 Expensas;64;3;2;2;0
Martha Salotti al 500;Puerto Madero, Capital Federal;USD 4.000;$ 850.000 Expensas;177;4;3;4;0
Scalabrini Ortíz 3000;Palermo Chico, Palermo;$ 1.100.000;$ 400.000 Expensas;100;3;2;2;0
Cuba 2700. Piso 4 Unidad b.;Belgrano, Capital Federal;USD 750;$ 320.000 Expensas;55;2;1;1;1
Figueroa Alcorta al 3000;Palermo Chico, Palermo;USD 6.500;$ 2.424.000 Expensas;320;6;3;3;2
Coronel Díaz al 2700;Palermo Chico, Palermo;$ 900.000;$ 398.000 Expensas;82;3;2;1;0
Niceto Vega al 5800;Palermo, Capital Federal;$ 890.000;$ 80.000 Expensas;50;2;1;1;0
Mendoza  al 3000;Belgrano R, Belgrano;$ 1.000.000;$ 230.000 Expensas;59;2;1;1;1
Av. Santa Fe al 900;Retiro, Capital Federal;USD 1.800;;184;5;3;2;1
Alvear  1400 1°;Recoleta, Capital Federal;USD 2.000;$ 540.000 Expensas;170;4;3;3;1
Clay al 2800;Las Cañitas, Palermo;$ 790.000;$ 200.000 Expensas;41;2;1;1;1
Av. Coronel Diaz;Palermo Chico, Palermo;$ 550.000;$ 105.000 Expensas;43;1;1;1;0
Araoz 2500;Botánico, Palermo;USD 800;$ 180.000 Expensas;41;1;0;1;0
Tucumàn al 2900;Balvanera, Capital Federal;$ 400.000;$ 60.000 Expensas;21;2;1;1;0
Demaria al 4500;Palermo, Capital Federal;USD 9.000;$ 2.000.000 Expensas;400;5;4;5;3
Cabildo 150;Belgrano, Capital Federal;USD 1.350;$ 500.000 Expensas;90;3;2;2;1
Larrea  al 1300;Recoleta, Capital Federal;$ 450.000;$ 70.300 Expensas;26;1;0;1;0
Rocamora 4300;Palermo, Capital Federal;USD 1.500;$ 700.000 Expensas;88;4;3;2;1
Sucre al 1500;Belgrano, Capital Federal;USD 2.500;$ 700.000 Expensas;140;4;3;2;1
Castex al 3300;Palermo Chico, Palermo;USD 1.400;$ 350.000 Expensas;100;3;2;1;0
Montañeses e/ Campos Salles y Guayra;Belgrano, Capital Federal;USD 1.100;$ 161.000 Expensas;50;2;1;1;0
Olleros  1800 14°;Belgrano, Capital Federal;USD 4.000;$ 594.700 Expensas;148;4;3;2;2
Costa Rica e/ Soler y Avenida Medrano;Palermo, Capital Federal;$ 600.000;$ 170.000 Expensas;35;1;0;1;0
Av. Alvear  al 1300;Recoleta, Capital Federal;USD 5.000;$ 1.450.000 Expensas;302;6;3;4;1
Dragones  2200 4°;Belgrano Chico, Belgrano;USD 1.400;$ 650.000 Expensas;90;3;2;2;1
Godoy Cruz  al 2900;Palermo Nuevo, Palermo;$ 750.000;$ 100.000 Expensas;50;2;1;1;0
Bartolomé Mitre y Gascón;Almagro, Capital Federal;USD 550;$ 130.000 Expensas;38;1;0;1;0
Basualdo al 600;Villa Luro, Capital Federal;$ 900.000;$ 100.000 Expensas;70;3;2;2;0
Buschiazzo  al 3000;Palermo Chico, Palermo;USD 1.600;$ 625.000 Expensas;140;5;3;2;0
Avenida Cabildo AL 3600;Núñez, Capital Federal;$ 700.000;$ 200.000 Expensas;56;2;1;1;0
Alquiler Departamento Amoblado Recoleta;Recoleta, Capital Federal;USD 2.000;;70;4;3;2;0
Mendoza 2000;Belgrano, Capital Federal;USD 1.000;$ 200.000 Expensas;49;2;1;2;1
Fitz Roy al 1800;Palermo Hollywood, Palermo;USD 800;$ 85.000 Expensas;50;2;1;2;0
Av Quintana  84;Recoleta, Capital Federal;USD 2.900;$ 1.500.000 Expensas;261;7;3;2;0
Departamento  3 Ambientes- Alquiler - Torre El Faro- Piso Alto;Puerto Madero, Capital Federal;USD 5.000;$ 2.300.000 Expensas;230;3;2;4;4
Julieta Lanteri 1300;Puerto Madero, Capital Federal;USD 2.600;$ 600.000 Expensas;82;2;1;1;2
Montañeses 3100;Núñez, Capital Federal;USD 1.200;$ 250.000 Expensas;55;2;1;1;0
Tucuman e/ Suipacha y Carlos Pellegrini;San Nicolás, Capital Federal;$ 300.000;$ 60.000 Expensas;20;1;0;1;0
Av. Santa Fe  al 2500;Recoleta, Capital Federal;$ 400.000;$ 114.436 Expensas;27;1;0;1;0
Quartier Lacroze;Belgrano, Capital Federal;USD 4.000;$ 600.000 Expensas;162;3;2;3;2
Cabello al 3800;Palermo Chico, Palermo;USD 700;$ 124.000 Expensas;42;2;1;1;0
Jose María Moreno;Caballito, Capital Federal;$ 570.000;$ 92.000 Expensas;55;2;0;1;0
Quirno 100. Entre Av rivadavia y Ramon falcon;Flores, Capital Federal;$ 330.000;$ 97.000 Expensas;33;1;1;1;0
Paraná al 700;Recoleta, Capital Federal;USD 1.000;$ 238.227 Expensas;78;2;2;2;0
Humboldt 2300;Palermo Hollywood, Palermo;USD 450;$ 150.000 Expensas;40;1;0;1;0
Av Cabildo  al 1700;Belgrano, Capital Federal;$ 600.000;$ 92.000 Expensas;42;2;1;1;0
Juana Manso 1300;Puerto Madero, Capital Federal;USD 2.500;$ 100 Expensas;98;3;2;2;1
Azucena Villaflor al 500;Puerto Madero, Capital Federal;USD 3.600;$ 700.000 Expensas;140;3;2;2;2
Posadas al 1300;Recoleta, Capital Federal;USD 1.400;$ 181.688 Expensas;82;3;2;1;0
Avenida Santa Fe e/ Bonpland y Fitz Roy;Palermo, Capital Federal;$ 460.000;;38;2;1;1;0
Paraguay 700;Retiro, Capital Federal;$ 600.000;$ 1 Expensas;40;2;1;1;0
Blanco Encalada 4800;Villa Urquiza, Capital Federal;USD 500;$ 71.000 Expensas;37;1;0;1;1
Virrey del Pino al 2100;Belgrano, Capital Federal;USD 1.400;;70;3;2;2;1
Torre Solar Abasto – Corrientes 3300;Abasto, Capital Federal;$ 480.000;$ 180.000 Expensas;30;1;1;1;0
Charlone 30;Chacarita, Capital Federal;$ 720.000;;41;2;1;1;1
Parera 100;Recoleta, Capital Federal;USD 3.000;$ 950.000 Expensas;285;5;4;5;1
Sánchez de Bustamante y Charcas;Recoleta, Capital Federal;$ 1.350.000;$ 230.000 Expensas;92;4;3;1;0
Tte. B. Matienzo y Soldado de la Independencia Caba;Belgrano, Capital Federal;$ 670.000;$ 190.000 Expensas;65;3;2;1;0
Las Heras 2300;Recoleta, Capital Federal;$ 700.000;$ 67.000 Expensas;45;2;1;1;0
Av Olazabal  al 2207;Belgrano, Capital Federal;USD 2.400;$ 360.000 Expensas;80;3;2;2;1
Lafinur 3100;Palermo, Capital Federal;USD 900;$ 176.800 Expensas;80;2;1;1;0
Honduras 4600;Palermo, Capital Federal;$ 1.400.000;$ 350.000 Expensas;76;3;2;1;1
Quartier Del Bajo.;Puerto Madero, Capital Federal;USD 650;$ 100.000 Expensas;35;1;1;1;1
Cerviño al 3200;Palermo, Capital Federal;$ 390.000;;26;1;0;1;0
Monroe al 2800;Belgrano, Capital Federal;$ 1.000.000;$ 200.000 Expensas;66;3;2;2;0
Concepción Arenal 2989, Palermo Hollywood;Palermo, Capital Federal;USD 4.200;;103;3;2;2;0
11 De Septiembre 1888  1100 4°;Belgrano, Capital Federal;$ 650.000;$ 137.000 Expensas;42;2;1;1;0
Av. Cordoba al 600;Retiro, Capital Federal;USD 1.100;$ 408.000 Expensas;129;5;3;2;0
Torre Nic - Baez al 600. Alquiler Precio Paquete;Las Cañitas, Palermo;USD 750;$ 3.500 Expensas;35;1;1;1;0
Av. Alvear al 1800;Recoleta, Capital Federal;USD 2.200;$ 470.400 Expensas;104;3;2;2;0
Sanchez de Loria al 2300;Parque Patricios, Capital Federal;$ 599.000;;35;1;1;1;0
Penoir 1 - Marta Lynch al 400 - 3 Ambientes - 139 m2 - Amoblado;Puerto Madero, Capital Federal;USD 5.000;$ 1 Expensas;139;3;2;2;1
